TQRMNORTUHKMKTCDEHLEH00778896;2023;1;1;1;40;N;25;200;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;2;2;260000;8;8;8;;8;9;65000;5;5;7;;6;7;208;1;0;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOTPSHKOKSCDEHLEH00778850;2023;1;1;1;40;N;25;143;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;8;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;0;1;70000;2;2;2;;2;2;70000;6;6;7;;6;7;147;1;0;98;0;0;0;Unipersonal;Material durable;Medio;Buena
TQRMNOTRTHJMKRCDEHLEH00795454;2023;1;1;1;40;N;25;119;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;2;1;2;2;2;2;3;0;3;575000;10;10;10;;10;10;191666,67;9;10;10;;10;10;153;1;3;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOQPVHKMKOCDEGGFB00777004;2023;1;1;1;42;S;10;690;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;1;2;0;2;0;6;;2;;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;433000;9;10;10;9;;10;108250;8;8;8;8;;8;921;1;0;2;3;0;0;Nuclear;Material durable;Alto;Buena
TQRMNORVTHLOLMCDEGGFB00715744;2023;1;3;1;42;S;10;549;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;6;;2;;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;207000;6;7;7;6;;7;69000;5;5;6;5;;6;826;2;0;1;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNORVTHLOLMCDEGGFB00715744;2023;1;1;1;42;S;10;473;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;2;2;0;2;0;6;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;0;2;215000;7;7;7;7;;7;107500;8;8;8;8;;8;624;1;0;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOSQVHKNKSCDEGGFB00777103;2023;1;1;1;42;S;10;511;1;;2;1;;1;2;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;130000;4;4;4;4;;4;32500;2;2;2;2;;2;579;2;0;1;3;4;0;Nuclear;Material durable;Alto;Buena
TQRMNOSPSHMNLPCDEGGFB00799464;2023;1;1;1;42;S;10;603;1;;2;1;;1;2;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;0;1;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;98;0;0;0;Unipersonal;Material durable;Medio;Buena
TQSMNOPQWHLMLPCDEGOIH00778217;2023;1;1;1;40;N;18;196;1;;2;1;;1;1;1;1;;1;1;1;2;2;2;2;2;1;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;70500;2;2;2;;2;2;35250;2;2;3;;3;4;209;1;0;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOQRQHJOLQCDEGOIH00795456;2023;1;1;1;40;N;18;382;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;0;2;245000;7;7;8;;8;9;122500;8;8;9;;9;10;402;1;0;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOQTPHLMLQCDEHMHF00717445;2023;1;1;1;42;N;26;94;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;;1;;1;2;1;2;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;1;0;1;45086;1;1;1;;1;1;45086;3;3;4;;4;4;98;1;0;98;0;0;0;Unipersonal;Material durable;Medio;Buena
TQRMNORXVHLMLQCDEHMHF00717446;2023;1;1;1;42;N;26;165;1;;5;1;;1;1;1;1;;1;1;1;1;2;2;2;5;2;2;0;2;2;1;2;0;1;1;1;;1;;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;0;4;164520;5;5;5;;5;6;41130;3;3;3;;3;4;193;1;2;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOPTYHJMLQCDEHJGH00795144;2023;1;1;1;40;S;23;402;1;;3;2;;4;2;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;4;0;4;169500;5;5;6;5;;5;42375;3;3;4;3;;4;406;3;4;98;0;0;0;Nuclear;Material durable;Alto;Saludable
TQRMNOSYSHJMLQCDEHJGH00795145;2023;1;1;1;40;S;23;388;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;2;1;1;2;2;2;2;4;2;2;200000;6;6;7;6;;6;50000;4;4;5;4;;5;414;1;0;2;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNOSYTHJMLQCDEHJGH00795745;2023;1;1;1;40;S;23;337;1;;5;1;;2;1;1;1;;1;1;1;1;2;2;2;5;1;2;0;2;1;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;100000;3;3;3;3;;3;50000;4;4;5;4;;5;340;1;2;98;0;0;0;Nuclear;Material durable;Alto;Buena
TQRMNORTTHMNLTCDEHJGH00800793;2023;1;1;1;40;S;23;281;1;;6;1;;1;1;1;1;;1;1;1;1;2;2;2;6;4;2;0;2;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;2;4;150000;5;5;5;4;;5;25000;1;1;2;1;;2;318;2;4;98;0;0;0;Extendido;Material durable;Alto;Buena
TQRMNOSUXHKOLTCDEHJGH00778631;2023;1;1;1;40;S;23;219;1;;3;2;;4;2;1;1;;1;2;2;3;1;2;2;3;1;1;1;2;2;2;0;0;0;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;3;1;2;155000;5;5;6;5;;5;51666,67;4;4;5;4;;5;207;1;0;96;0;0;0;Nuclear;Material durable;Alto;Regular
